,cdf,Number of Output Tokens
0,0.0,48.95986089487216
1,0.01,48.95986089487216
2,0.02,48.95986089487216
3,0.03,48.95986089487216
4,0.04,48.95986089487216
5,0.05,48.95986089487216
6,0.06,48.95986089487216
7,0.07,48.95986089487216
8,0.08,48.95986089487216
9,0.09,48.95986089487216
10,0.1,48.95986089487216
11,0.11,48.95986089487216
12,0.12,53.03758555691637
13,0.13,53.03758555691637
14,0.14,53.03758555691637
15,0.15,53.03758555691637
16,0.16,53.03758555691637
17,0.17,53.03758555691637
18,0.18,53.03758555691637
19,0.19,53.03758555691637
20,0.2,53.03758555691637
21,0.21,53.03758555691637
22,0.22,53.03758555691637
23,0.23,53.03758555691637
24,0.24,53.03758555691637
25,0.25,53.03758555691637
26,0.26,53.03758555691637
27,0.27,53.03758555691637
28,0.28,53.03758555691637
29,0.29,53.03758555691637
30,0.3,53.03758555691637
31,0.31,53.03758555691637
32,0.32,53.03758555691637
33,0.33,53.03758555691637
34,0.34,80.07798409094674
35,0.35000000000000003,80.07798409094674
36,0.36,80.07798409094674
37,0.37,80.07798409094674
38,0.38,80.07798409094674
39,0.39,80.07798409094674
40,0.4,80.07798409094674
41,0.41000000000000003,80.07798409094674
42,0.42,80.07798409094674
43,0.43,80.07798409094674
44,0.44,80.07798409094674
45,0.45,145.91162949182663
46,0.46,145.91162949182663
47,0.47000000000000003,145.91162949182663
48,0.48,145.91162949182663
49,0.49,145.91162949182663
50,0.5,145.91162949182663
51,0.51,145.91162949182663
52,0.52,145.91162949182663
53,0.53,145.91162949182663
54,0.54,145.91162949182663
55,0.55,145.91162949182663
56,0.56,147.96875929938696
57,0.5700000000000001,147.96875929938696
58,0.58,147.96875929938696
59,0.59,147.96875929938696
60,0.6,147.96875929938696
61,0.61,147.96875929938696
62,0.62,147.96875929938696
63,0.63,147.96875929938696
64,0.64,147.96875929938696
65,0.65,147.96875929938696
66,0.66,147.96875929938696
67,0.67,196.17385074232715
68,0.68,196.17385074232715
69,0.6900000000000001,196.17385074232715
70,0.7000000000000001,196.17385074232715
71,0.71,196.17385074232715
72,0.72,196.17385074232715
73,0.73,196.17385074232715
74,0.74,196.17385074232715
75,0.75,196.17385074232715
76,0.76,196.17385074232715
77,0.77,196.17385074232715
78,0.78,209.13945557381334
79,0.79,209.13945557381334
80,0.8,209.13945557381334
81,0.81,209.13945557381334
82,0.8200000000000001,209.13945557381334
83,0.8300000000000001,209.13945557381334
84,0.84,209.13945557381334
85,0.85,209.13945557381334
86,0.86,209.13945557381334
87,0.87,209.13945557381334
88,0.88,209.13945557381334
89,0.89,289.16613629152687
90,0.9,289.16613629152687
91,0.91,289.16613629152687
92,0.92,289.16613629152687
93,0.93,289.16613629152687
94,0.9400000000000001,289.16613629152687
95,0.9500000000000001,289.16613629152687
96,0.96,289.16613629152687
97,0.97,289.16613629152687
98,0.98,289.16613629152687
99,0.99,289.16613629152687
100,1.0,349.67405611266685
